Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms),Duração de Outra (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,17.36145833333333,,,,89.31818181818181,94.0,85.0,,,,4,,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,18.6015625,,,,88.22727272727273,94.0,85.0,,,,4,,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,18.6015625,,,,86.5,88.0,85.0,,,,4,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,18.6015625,,,,84.28571428571429,88.0,82.0,,,,4,,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,18.6015625,,,,83.0,84.0,82.0,,,,4,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,18.6015625,,,,82.0,87.0,76.0,,,,4,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,18.6015625,,,,85.5,88.0,82.0,,,,4,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,18.6015625,,,,80.5,83.0,78.0,,,,4,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,18.6015625,,,,74.45,77.0,73.0,,,,4,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,18.6015625,,,,72.58333333333333,77.0,67.0,,,,4,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,18.6015625,,,,69.15384615384616,80.0,57.0,,,,4,,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,18.6015625,,,,66.7,67.0,66.0,,,,4,,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,18.6015625,,,,72.25,73.0,72.0,,,,4,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,18.6015625,,,,76.18181818181819,84.0,64.0,,,,4,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,18.6015625,,,,75.15384615384616,79.0,63.0,,,,4,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,18.6015625,,,,74.05555555555556,90.0,69.0,,,,4,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,18.6015625,,,,66.57142857142857,71.0,62.0,,,,4,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,18.6015625,,,,71.25,77.0,70.0,,,,4,,,,,
04:30:00.000-03:00,04:45:00.000-03:00,,18.6015625,,,,68.3,78.0,63.0,,,,4,,,,,
04:45:00.000-03:00,05:00:00.000-03:00,,18.6015625,,,,64.81818181818181,69.0,62.0,,,,4,,,,,
05:00:00.000-03:00,05:15:00.000-03:00,,18.6015625,,,,65.16666666666667,75.0,54.0,,,,4,,,,,
05:15:00.000-03:00,05:30:00.000-03:00,,18.6015625,,,,70.08333333333333,72.0,68.0,,,,4,,,,,
05:30:00.000-03:00,05:45:00.000-03:00,,18.6015625,,,,71.8125,78.0,67.0,,,,4,,,,,
05:45:00.000-03:00,06:00:00.000-03:00,,18.6015625,,,,73.81818181818181,83.0,72.0,,,,4,,,,,
06:00:00.000-03:00,06:15:00.000-03:00,,18.6015625,,,,66.16666666666667,79.0,57.0,,,,4,,,,,
06:15:00.000-03:00,06:30:00.000-03:00,,18.6015625,,,,67.23076923076923,68.0,66.0,,,,4,,,,,
06:30:00.000-03:00,06:45:00.000-03:00,,18.6015625,,,,72.92307692307692,85.0,59.0,,,,4,,,,,
06:45:00.000-03:00,07:00:00.000-03:00,,18.6015625,,,,63.7,64.0,63.0,,,,4,,,,,
07:00:00.000-03:00,07:15:00.000-03:00,,18.6015625,,,,72.71428571428571,76.0,63.0,,,,4,,,,,
07:15:00.000-03:00,07:30:00.000-03:00,,18.6015625,,,,77.08333333333333,86.0,70.0,,,,4,,,,,
07:30:00.000-03:00,07:45:00.000-03:00,,18.6015625,,,,83.85,89.0,76.0,,,,4,,,,,
07:45:00.000-03:00,08:00:00.000-03:00,,18.6015625,,,,82.9,89.0,80.0,,,,4,,,,,
08:00:00.000-03:00,08:15:00.000-03:00,,18.6015625,,,,87.68181818181819,92.0,85.0,,,,4,,,,,
08:15:00.000-03:00,08:30:00.000-03:00,,18.6015625,,,,84.58333333333333,94.0,77.0,,,,4,,,,,
08:30:00.000-03:00,08:45:00.000-03:00,,18.6015625,,,,90.75,102.0,79.0,,,,4,,,,,
08:45:00.000-03:00,09:00:00.000-03:00,,18.6015625,,,,82.0909090909091,86.0,78.0,,,,4,,,,,
09:00:00.000-03:00,09:15:00.000-03:00,,18.6015625,,,,84.5,89.0,76.0,,,,4,,,,,
09:15:00.000-03:00,09:30:00.000-03:00,,18.6015625,,,,77.8125,82.0,77.0,,,,4,,,,,
09:30:00.000-03:00,09:45:00.000-03:00,,18.6015625,,,,80.375,88.0,71.0,,,,4,,,,,
09:45:00.000-03:00,10:00:00.000-03:00,,18.6015625,,,,72.5,74.0,71.0,,,,4,,,,,
10:00:00.000-03:00,10:15:00.000-03:00,,18.6015625,,,,73.71428571428571,80.0,68.0,,,,4,,,,,
10:15:00.000-03:00,10:30:00.000-03:00,,18.6015625,,,,79.0,79.0,79.0,,,,4,,,,,
10:30:00.000-03:00,10:45:00.000-03:00,,18.6015625,,,,81.33333333333333,93.0,74.0,,,,4,,,,,
10:45:00.000-03:00,11:00:00.000-03:00,,18.6015625,,,,86.0,86.0,86.0,,,,4,,,,,
11:00:00.000-03:00,11:15:00.000-03:00,,18.6015625,,,,75.5,77.0,74.0,,,,4,,,,,
11:15:00.000-03:00,11:30:00.000-03:00,,18.6015625,,,,71.88888888888889,74.0,64.0,,,,4,,,,,
11:30:00.000-03:00,11:45:00.000-03:00,,18.6015625,,,,68.54545454545455,74.0,63.0,,,,4,,,,,
11:45:00.000-03:00,12:00:00.000-03:00,,18.6015625,,,,81.95454545454545,89.0,76.0,,,,4,,,,,
12:00:00.000-03:00,12:15:00.000-03:00,,18.6015625,,,,86.0,90.0,81.0,,,,4,,,,,
12:15:00.000-03:00,12:30:00.000-03:00,,18.6015625,,,,80.64285714285714,86.0,77.0,,,,4,,,,,
12:30:00.000-03:00,12:45:00.000-03:00,,18.6015625,,,,84.96153846153847,86.0,83.0,,,,4,92.0,92.0,92.0,,
12:45:00.000-03:00,13:00:00.000-03:00,,18.6015625,,,,80.07692307692308,86.0,78.0,,,,4,,,,,
13:00:00.000-03:00,13:15:00.000-03:00,,18.6015625,,,,85.27272727272727,90.0,76.0,,,,4,,,,,
13:15:00.000-03:00,13:30:00.000-03:00,,18.6015625,,,,78.25,87.0,69.0,,,,4,,,,,
13:30:00.000-03:00,13:45:00.000-03:00,,18.6015625,,,,80.5,88.0,73.0,,,,4,,,,,
13:45:00.000-03:00,14:00:00.000-03:00,,18.6015625,,,,76.72727272727273,79.0,73.0,,,,4,,,,,
