Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,18.6015625,18.2690199600625,,,,,,0.25011158278657,0.25011158278657,0.25011158278657,28,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,18.6015625,,,,,,,,,,6,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,18.6015625,31.970784930109378,,,,,,0.30526235983877187,0.32623248815142813,0.2842922315261156,68,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
04:30:00.000-03:00,04:45:00.000-03:00,9,60.3365293125,473.135354298013,,,,,,0.9132867543199901,1.2854391145486739,0.27400782173627924,696,,,,,545964
04:45:00.000-03:00,05:00:00.000-03:00,2,45.091483546875004,102.28013929206439,,,,,,0.9013875824610476,1.1574467780757718,0.5028027893743464,182,,,,,346533
05:00:00.000-03:00,05:15:00.000-03:00,,18.6015625,,,,,,,,,,4,,,,,
05:15:00.000-03:00,05:30:00.000-03:00,2,18.6015625,67.20389485308706,,,,,,0.4164723978752345,0.5067123086854215,0.3262324870650475,112,,,,,
05:30:00.000-03:00,05:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
05:45:00.000-03:00,06:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
06:00:00.000-03:00,06:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
06:15:00.000-03:00,06:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
06:30:00.000-03:00,06:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
06:45:00.000-03:00,07:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
07:00:00.000-03:00,07:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
07:15:00.000-03:00,07:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
07:30:00.000-03:00,07:45:00.000-03:00,8,48.11748276261694,404.2855986449216,2.0,2,,,,1.0208374322085396,1.2526440077882788,0.32623248815142813,593,,,,,386119
07:45:00.000-03:00,08:00:00.000-03:00,5,37.94832319607917,276.59482201619926,1.0,1,,,,1.2011823751687314,1.2418600981361154,1.1530118427574019,422,,,,,253089
08:00:00.000-03:00,08:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
08:15:00.000-03:00,08:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
08:30:00.000-03:00,08:45:00.000-03:00,2,23.79637963020833,88.2839608669473,,,,,,0.77018507539401,0.9988121239294983,0.3302478724039922,160,,,,,67957
08:45:00.000-03:00,09:00:00.000-03:00,2,27.001733249828135,98.52221478462278,,,,,,0.4456768900029752,0.565121287981339,0.32623249202461146,164,,,,,109888
09:00:00.000-03:00,09:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
09:15:00.000-03:00,09:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
09:30:00.000-03:00,09:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
09:45:00.000-03:00,10:00:00.000-03:00,1,18.6015625,31.970784930109378,,,,,,0.7709520422319124,0.7709520422319124,0.7709520422319124,59,,,,,
10:00:00.000-03:00,10:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
10:15:00.000-03:00,10:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
10:30:00.000-03:00,10:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
10:45:00.000-03:00,11:00:00.000-03:00,1,22.620079234374998,41.75775990871429,,,,,,0.3262324841021912,0.3262324841021912,0.3262324841021912,64,,,,,52569
11:00:00.000-03:00,11:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
11:15:00.000-03:00,11:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
11:30:00.000-03:00,11:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
11:45:00.000-03:00,12:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
12:00:00.000-03:00,12:15:00.000-03:00,1,18.6015625,42.410224907287954,,,,,,0.32623247102004155,0.32623247102004155,0.32623247102004155,84,,,,,
12:15:00.000-03:00,12:30:00.000-03:00,6,41.54301302604167,290.96598463829815,,,,,,0.7702223128834005,1.1508114059478234,0.30448366600104165,432,,,,,300113
12:30:00.000-03:00,12:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
12:45:00.000-03:00,13:00:00.000-03:00,1,18.6015625,55.79144184829303,,,,,,0.3262324823416533,0.3262324823416533,0.3262324823416533,108,,,,,
13:00:00.000-03:00,13:15:00.000-03:00,10,55.24677673925842,502.98182248433676,,,,,,0.7437280349573976,1.148587049191266,0.32623249242254126,748,,,,,479382
13:15:00.000-03:00,13:30:00.000-03:00,7,59.890868322916674,368.049818294392,,,,,,0.8769265006086843,1.1691980554530965,0.447867983380991,555,,,,,540134
13:30:00.000-03:00,13:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
13:45:00.000-03:00,14:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
14:15:00.000-03:00,14:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
14:30:00.000-03:00,14:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
14:45:00.000-03:00,15:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,,
