Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,18.6015625,18.921484958636164,,,,,,0.282734832715253,0.282734832715253,0.282734832715253,29,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,18.6015625,,,,,,,,,,6,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
04:30:00.000-03:00,04:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
04:45:00.000-03:00,05:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
05:00:00.000-03:00,05:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
05:15:00.000-03:00,05:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
05:30:00.000-03:00,05:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
05:45:00.000-03:00,06:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
06:00:00.000-03:00,06:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
06:15:00.000-03:00,06:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
06:30:00.000-03:00,06:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
06:45:00.000-03:00,07:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
07:00:00.000-03:00,07:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
07:15:00.000-03:00,07:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
07:30:00.000-03:00,07:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
07:45:00.000-03:00,08:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
08:00:00.000-03:00,08:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
08:15:00.000-03:00,08:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
08:30:00.000-03:00,08:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
08:45:00.000-03:00,09:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
09:00:00.000-03:00,09:15:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
09:15:00.000-03:00,09:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
09:30:00.000-03:00,09:45:00.000-03:00,,18.6015625,,,,,,,,,,9,,,,
09:45:00.000-03:00,10:00:00.000-03:00,,18.6015625,,,,,,,,,,9,,,,
10:00:00.000-03:00,10:15:00.000-03:00,,18.6015625,12.396834972899555,,,,,,0.26884121676641204,0.26884121676641204,0.26884121676641204,51,,,,
10:15:00.000-03:00,10:30:00.000-03:00,,18.601562499999996,4.707899870731554,,,,,,,,,19,,,,
10:30:00.000-03:00,10:45:00.000-03:00,,18.601562499999996,,,,,,,,,,31,,,,
10:45:00.000-03:00,11:00:00.000-03:00,4,20.135385442708333,109.80261042183966,,,,,,0.32611757079606807,0.34328473064933596,0.2784145000687401,173,,,,20065
11:00:00.000-03:00,11:15:00.000-03:00,2,27.51595356014478,108.107507506041,,,,,,0.8097980082100742,0.8097980082100742,0.8097980082100742,192,,,,116616
11:15:00.000-03:00,11:30:00.000-03:00,15,87.39999999999999,1132.7477013933192,15.0,15,,,,1.265026025055831,1.3553199818074713,1.181546072944375,1578,,,,900000
11:30:00.000-03:00,11:45:00.000-03:00,3,35.58873758854166,214.97948074132492,2.0,2,,,,1.0503250495473178,1.2388367536010534,0.48407937380016813,341,,,,222221
11:45:00.000-03:00,12:00:00.000-03:00,,18.601562499999996,,,,,,,,,,,,,,
12:00:00.000-03:00,12:15:00.000-03:00,,18.6015625,,,,,,,,,,8,,,,
12:15:00.000-03:00,12:30:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
12:30:00.000-03:00,12:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
12:45:00.000-03:00,13:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
13:00:00.000-03:00,13:15:00.000-03:00,,18.6015625,22.183809951504465,,,,,,0.31297016951417284,0.321456673027304,0.30448366600104165,34,,,,
13:15:00.000-03:00,13:30:00.000-03:00,,18.6015625,,,,,,,,,,16,,,,
13:30:00.000-03:00,13:45:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
13:45:00.000-03:00,14:00:00.000-03:00,,18.6015625,,,,,,,,,,,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,18.6015625,5.702116057984821,,,,,,,,,14,,,,
14:15:00.000-03:00,14:30:00.000-03:00,,18.601562500000004,,,,,,,,,,10,,,,
14:30:00.000-03:00,14:45:00.000-03:00,1,25.159200234375,56.1015705752089,,,,,,0.5462187072999114,0.7783769871626532,0.31406042743716944,99,,,,85785
14:45:00.000-03:00,15:00:00.000-03:00,6,53.736465875,314.53595994061016,1.0,1,,,,0.7303476133529848,1.3111819721801912,0.3262325029986313,456,,,,459624
15:00:00.000-03:00,15:15:00.000-03:00,,18.6015625,,,,,,,,,,10,,,,
15:15:00.000-03:00,15:30:00.000-03:00,1,28.972009640625,56.764454875908484,,,,,,0.3943048460914094,0.4852269689343034,0.2924334009754864,63,,,,135663
15:30:00.000-03:00,15:45:00.000-03:00,,18.601562500000004,,,,,,,,,,,,,,
15:45:00.000-03:00,16:00:00.000-03:00,,18.601562500000004,,,,,,,,,,,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,18.601562500000004,,,,,,,,,,,,,,
16:15:00.000-03:00,16:30:00.000-03:00,,18.601562500000004,,,,,,,,,,,,,,
