Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Outra (ms)
2023-11-21,73,1970.7439800193997,2589.336594224253,23.0,23,82.65483646485734,127.0,54.0,0.36740252339118795,1.6050664076117442,0.002364475201845444,4033,92.0,92.0,92.0,,2349318,,2220000
2023-11-22,37,1976.4546587543698,3.0,26.0,23,78.10108303249098,101.0,56.0,0.4195504807723075,1.878814284973841,3.4770514603616136E-5,4055,,,,,2494740,,
2023-11-23,11,1838.7778481145833,480.0747447539762,1.0,1,,,,0.5007353003485029,1.2409209950081954,0.25011158278657,848,,,,,693694,,
2023-11-24,10,1845.2136725261928,479.1655979790919,3.0,3,,,,0.7898440079984548,1.2804802092448526,0.2609859994294643,823,,,,,777886,,
2023-11-25,7,1819.8149984460347,421.6509365823599,1.0,1,,,,0.2946308716609342,1.4097514823051776,0.27186041607235867,698,,,,,445628,,
2023-11-26,,1785.75,82.63904118335039,,,,,,0.3089576895432956,0.8812998697214823,0.2609859994294643,197,,,,,,,
2023-11-27,36,1971.6205981943237,2392.8076951648736,23.0,23,,,,0.4225691475552703,1.3653687090049893,0.25011158278657,3657,,,,,2431502,,
2023-11-28,5,1785.75,227.65573414431373,,,,,,0.35767112948773117,0.6823006410034601,0.27186041607235867,592,,,,,,,
2023-11-29,15,1860.5545236012122,812.5522533568012,2.0,2,,,,0.3761912361472082,1.4030363672488506,0.2609859994294643,1310,,,,,978570,,
2023-11-30,6,1829.6713811562504,372.6539164034157,1.0,1,,,,0.2799141766802602,1.306922419801645,0.23914721355948046,684,,,,,574566,,
2023-12-01,8,1850.1534105324042,399.63746144210074,1.0,1,,,,0.6323139938710327,1.406236898991286,0.31535808264393606,748,,,,,842506,,
